id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
6339,Strange World,"Animation, Family, Adventure, Science Fiction, Fantasy",en,6.3,1,42,2022-11-23,1236,Don Hall,"Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White, Gabrielle Union, Lucy Liu",180000000.0,73621640.0
6340,Samba,"Drama, Comedy",fr,6.3,1,58,2014-10-15,932,Éric Toledano,"Omar Sy, Charlotte Gainsbourg, Tahar Rahim, Izïa Higelin, Issaka Sawadogo",20000000.0,151530.0
6341,Samba,"Drama, Comedy",fr,6.3,1,58,2014-10-15,932,Éric Toledano,"Omar Sy, Charlotte Gainsbourg, Tahar Rahim, Izïa Higelin, Issaka Sawadogo",20000000.0,151530.0
6342,Hostage,"Action, Thriller, Crime",en,6.3,1,53,2005-03-10,1584,Florent-Emilio Siri,"Bruce Willis, Ben Foster, Jonathan Tucker, Jimmy Bennett, Michelle Horn",52000000.0,77944725.0
6343,Gunpowder Milkshake,"Action, Crime, Thriller",en,6.3,1,54,2021-07-14,993,Navot Papushado,"Karen Gillan, Lena Headey, Chloe Coleman, Carla Gugino, Michelle Yeoh",30000000.0,1015760.0
6344,The Secret Garden,"Family, Fantasy, Drama",en,6.3,1,39,2020-07-08,575,Marc Munden,"Dixie Egerickx, Tommy Gene Surridge, Colin Firth, Julie Walters, Maeve Dermody",0.0,889816.0
6345,Alone,"Thriller, Horror",en,6.3,1,38,2020-09-10,717,John Hyams,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal, Katie O’Grady",0.0,0.0
6346,Compliance,"Drama, Thriller",en,6.3,1,30,2012-08-23,671,Craig Zobel,"Ann Dowd, Dreama Walker, Pat Healy, Bill Camp, Philip Ettinger",270000.0,592116.0
6347,"Greystoke: The Legend of Tarzan, Lord of the Apes","Adventure, Drama, Action, Romance",en,6.3,2,23,1984-03-30,455,Hugh Hudson,"Ralph Richardson, Ian Holm, James Fox, Christopher Lambert, Andie MacDowell",0.0,45858563.0
6348,Along Came a Spider,"Crime, Mystery, Thriller, Action",en,6.3,1,44,2001-04-06,1826,Lee Tamahori,"Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem",60000000.0,105200000.0
6349,"Faster, Pussycat! Kill! Kill!","Crime, Action, Thriller",en,6.3,1,24,1965-08-06,318,Russ Meyer,"Tura Satana, Haji, Lori Williams, Sue Bernard, Stuart Lancaster",45000.0,0.0
6350,Into the Labyrinth,"Thriller, Mystery",it,6.3,2,10,2019-10-30,500,Donato Carrisi,"Toni Servillo, Dustin Hoffman, Valentina Bellè, Vinicio Marchioni, Riccardo Cicogna",4000000.0,2514679.0
6351,The Party,"Comedy, Drama",en,6.3,1,11,2017-07-27,530,Sally Potter,"Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Bruno Ganz, Cherry Jones",0.0,3300000.0
6352,Machete,"Action, Comedy, Thriller",en,6.3,1,45,2010-09-01,3254,Robert Rodriguez,"Danny Trejo, Michelle Rodriguez, Jessica Alba, Robert De Niro, Steven Seagal",20000000.0,45500000.0
6353,High Crimes,"Drama, Mystery, Thriller, Crime",en,6.3,1,55,2002-04-05,777,Carl Franklin,"Ashley Judd, Morgan Freeman, Jim Caviezel, Amanda Peet, Adam Scott",42000000.0,63781810.0
6354,Baby Boom,"Drama, Comedy, Romance",en,6.3,1,50,1987-10-07,353,Charles Shyer,"Diane Keaton, Sam Shepard, Harold Ramis, Kristina Kennedy, Michelle Kennedy",15000000.0,26712476.0
6355,Midnight in the Garden of Good and Evil,"Mystery, Crime, Drama",en,6.3,2,35,1997-11-21,568,Clint Eastwood,"John Cusack, Kevin Spacey, Jude Law, Alison Eastwood, Jack Thompson",35000000.0,25100000.0
6356,The Many Saints of Newark,"Crime, Drama",en,6.3,2,0,2021-09-22,657,Alan Taylor,"Alessandro Nivola, Leslie Odom Jr., Michael Gandolfini, Ray Liotta, Michela De Rossi",50000000.0,13037403.0
6357,Fright Night Part 2,"Horror, Comedy",en,6.3,1,44,1988-04-07,378,Tommy Lee Wallace,"Roddy McDowall, William Ragsdale, Traci Lind, Julie Carmen, Jon Gries",0.0,2983784.0
6358,Convoy,"Action, Comedy, Drama",en,6.3,1,50,1978-06-27,365,Sam Peckinpah,"Kris Kristofferson, Ali MacGraw, Ernest Borgnine, Burt Young, Madge Sinclair",12000000.0,45000000.0
6359,Sommersby,"Drama, Thriller, Mystery, Romance",en,6.3,1,49,1993-02-05,374,Jon Amiel,"Jodie Foster, Richard Gere, Bill Pullman, James Earl Jones, Lanny Flaherty",30000000.0,140081992.0
6360,The Duke of Burgundy,"Drama, Mystery, Romance",en,6.3,1,44,2014-10-18,324,Peter Strickland,"Sidse Babett Knudsen, Chiara D'Anna, Eugenia Caruso, Zita Kraszkó, Monica Swinn",1000000.0,0.0
6361,City of Ember,"Adventure, Family, Fantasy",en,6.3,1,30,2008-10-07,1718,Gil Kenan,"Saoirse Ronan, Harry Treadaway, Bill Murray, David Ryall, Tim Robbins",55000000.0,17869048.0
6362,Atlantis: Milo's Return,"Fantasy, Animation, Science Fiction, Family, Action",en,6.3,1,20,2003-02-25,3823,Victor Cook,"James Arnold Taylor, Cree Summer, John Mahoney, Jacqueline Obradors, Don Novello",0.0,0.0
6363,The Good Shepherd,"Drama, Thriller, History",en,6.3,2,47,2006-12-11,1131,Robert De Niro,"Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard, Billy Crudup",85000000.0,100266865.0
6364,Old,"Thriller, Mystery, Horror",en,6.3,1,48,2021-07-21,4404,M. Night Shyamalan,"Vicky Krieps, Gael García Bernal, Rufus Sewell, Alex Wolff, Thomasin McKenzie",18000000.0,90146510.0
6365,RRRrrrr!!!,Comedy,fr,6.3,1,34,2004-01-28,1156,Alain Chabat,"Maurice Barthélemy, Marina Foïs, Elise Larnicol, Pierre-François Martin-Laval, Jean-Paul Rouve",17820000.0,14054361.0
6366,Back to School,Comedy,en,6.3,1,36,1986-06-13,425,Alan Metter,"Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon, Robert Downey Jr.",11000000.0,91258000.0
6367,The Little Things,"Drama, Crime, Thriller",en,6.3,2,8,2021-01-28,2463,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt",30000000.0,29942746.0
6368,A Cure for Wellness,"Horror, Mystery, Science Fiction",en,6.3,2,26,2017-02-15,3799,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Harry Groener, Celia Imrie",40000000.0,26620002.0
6369,An Italian Name,Comedy,it,6.3,1,29,2015-01-22,327,Francesca Archibugi,"Alessandro Gassmann, Valeria Golino, Luigi Lo Cascio, Rocco Papaleo, Micaela Ramazzotti",0.0,0.0
6370,Morning Glory,"Drama, Comedy, Romance",en,6.3,1,47,2010-11-10,1474,Roger Michell,"Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson, Jeff Goldblum",40000000.0,60040976.0
6371,Coogan's Bluff,"Action, Crime, Drama, Thriller",en,6.3,1,33,1968-10-02,326,Don Siegel,"Clint Eastwood, Lee J. Cobb, Susan Clark, Tisha Sterling, Don Stroud",0.0,3110000.0
