id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
556,Gran Turismo,"Adventure, Action, Drama",en,7.8,2,15,2023-08-09,2659,Neill Blomkamp,"Archie Madekwe, David Harbour, Orlando Bloom, Djimon Hounsou, Darren Barnet",60000000.0,121700000.0
557,The Shadow in My Eye,"War, Drama, History",da,7.8,1,47,2021-10-28,481,Ole Bornedal,"Bertram Bisgaard Enevoldsen, Ester Birch, Ella Josephine Lund Nilsson, Malena Lucia Lodahl, Fanny Leander Bornedal",0.0,0.0
558,Infernal Affairs,"Drama, Action, Thriller, Crime, Mystery",cn,7.8,1,40,2002-12-12,1618,Alan Mak,"Andy Lau Tak-Wah, Tony Leung Chiu-wai, Anthony Wong Chau-Sang, Eric Tsang-Chi Wai, Kelly Chen",125000.0,8708932.0
559,Z,"Thriller, Crime, Drama",fr,7.8,2,7,1969-02-26,526,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant, Jacques Perrin, Charles Denner",0.0,83305.0
560,Finding Nemo,"Animation, Family",en,7.8,1,40,2003-05-30,19171,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush",94000000.0,940335536.0
561,The Witch: Part 1. The Subversion,"Action, Mystery, Science Fiction",ko,7.8,2,5,2018-06-27,548,Park Hoon-jung,"Kim Da-mi, Cho Min-soo, Park Hee-soon, Choi Woo-shik, Go Min-si",5500000.0,24340302.0
562,Luca,"Animation, Comedy, Fantasy, Adventure, Family",en,7.8,1,35,2021-06-17,8287,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph",200000000.0,51074773.0
563,Spotlight,"Drama, History",en,7.8,2,9,2015-11-06,8171,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery",20000000.0,98690254.0
564,Before Sunset,"Drama, Romance",en,7.8,1,20,2004-06-16,3351,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly",2700000.0,15992615.0
565,Bajrangi Bhaijaan,"Comedy, Drama, Action",hi,7.8,2,39,2015-07-17,471,Kabir Khan,"Salman Khan, Harshaali Malthotra, Nawazuddin Siddiqui, Kareena Kapoor Khan, Sharat Saxena",13000000.0,150000000.0
566,Mr. Nobody,"Science Fiction, Drama, Romance",en,7.8,2,21,2009-11-06,5796,Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger, Linh-Dan Pham, Rhys Ifans",47000000.0,2331721.0
567,Solaris,"Drama, Science Fiction, Mystery",ru,7.8,2,47,1972-03-20,1581,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetsky, Nikolay Grinko",0.0,0.0
568,The Phantom Carriage,"Drama, Fantasy, Horror",sv,7.8,1,46,1921-01-01,312,Victor Sjöström,"Victor Sjöström, Hilda Borgström, Tore Svennberg, Astrid Holm, Concordia Selander",0.0,0.0
569,Elite Squad: The Enemy Within,"Drama, Action, Crime",pt,7.8,1,55,2010-10-08,1832,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held, Maria Ribeiro",0.0,63027681.0
570,Network,Drama,en,7.8,2,2,1976-11-14,1708,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall, Ned Beatty",3800000.0,23700000.0
571,My Life as a Zucchini,"Animation, Comedy, Drama, Family, Romance",fr,7.8,1,6,2016-09-22,1342,Claude Barras,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz, Raul Ribera",8000000.0,5873256.0
572,One Hundred Steps,"Drama, History",it,7.8,1,54,2000-09-01,654,Marco Tullio Giordana,"Luigi Lo Cascio, Luigi Maria Burruano, Lucia Sardo, Paolo Briguglia, Tony Sperandeo",0.0,1805884.0
573,Fail Safe,"Thriller, Drama, War",en,7.8,1,52,1964-10-07,388,Sidney Lumet,"Henry Fonda, Walter Matthau, Fritz Weaver, Larry Hagman, Frank Overton",0.0,0.0
574,Harry Potter and the Goblet of Fire,"Adventure, Fantasy",en,7.8,2,37,2005-11-16,20575,Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon",150000000.0,895921036.0
575,Snatch,"Crime, Comedy",en,7.8,1,43,2000-09-01,8972,Guy Ritchie,"Brad Pitt, Jason Statham, Alan Ford, Stephen Graham, Dennis Farina",10000000.0,83600000.0
576,Words on Bathroom Walls,"Drama, Romance",en,7.8,1,51,2020-08-21,598,Thor Freudenthal,"Charlie Plummer, Molly Parker, Walton Goggins, Andy García, Taylor Russell",8000000.0,3151849.0
577,Lisbela and the Prisoner,"Comedy, Romance",pt,7.8,1,46,2003-08-22,379,Guel Arraes,"Selton Mello, Débora Falabella, Virginia Cavendish, Bruno Garcia, Tadeu Mello",0.0,0.0
578,Gifted Hands: The Ben Carson Story,Drama,en,7.8,1,26,2009-02-07,659,Thomas Carter,"Cuba Gooding Jr., Kimberly Elise, Aunjanue Ellis-Taylor, Harron Atkins, Ele Bardha",0.0,0.0
579,"Spring, Summer, Fall, Winter... and Spring",Drama,ko,7.8,1,43,2003-09-19,1057,Kim Ki-duk,"Oh Young-soo, Kim Ki-duk, Kim Young-min, Seo Jae-kyeong, Kim Jong-ho",0.0,8945072.0
580,Mulholland Drive,"Thriller, Drama, Mystery",en,7.8,2,27,2001-06-06,6162,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Mark Pellegrino",15000000.0,20289986.0
581,Paprika,"Animation, Science Fiction, Thriller",ja,7.8,1,30,2006-10-21,2406,Satoshi Kon,"Megumi Hayashibara, Tohru Emori, Katsunosuke Hori, Toru Furuya, Akio Otsuka",0.0,946590.0
582,A Moment to Remember,"Drama, Romance",ko,7.8,1,57,2004-11-05,314,John H. Lee,"Jung Woo-sung, Son Ye-jin, Baek Jong-hak, Lee Sun-jin, Park Sang-gyu",4200000.0,0.0
583,Kagemusha,"Action, Drama, History, War",ja,7.8,3,0,1980-04-26,639,Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Jinpachi Nezu, Hideji Ōtaki",6000000.0,4000000.0
584,Fantastic Mr. Fox,"Adventure, Animation, Comedy, Family",en,7.8,1,27,2009-10-23,5383,Wes Anderson,"George Clooney, Meryl Streep, Jason Schwartzman, Wallace Wolodarsky, Eric Chase Anderson",40000000.0,46471023.0
585,Day for Night,"Comedy, Drama",fr,7.8,1,56,1973-05-24,583,François Truffaut,"Jacqueline Bisset, Jean-Pierre Léaud, François Truffaut, Jean-Pierre Aumont, Valentina Cortese",700000.0,850000.0
586,Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action",en,7.8,2,23,2003-07-09,20533,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport",140000000.0,655011224.0
587,Tod@s Caen,Comedy,es,7.8,2,0,2019-08-30,475,Ariel Winograd,"Martha Higareda, Omar Chaparro, Claudia Álvarez, Mauricio Barrientos, Consuelo Duval",0.0,0.0
588,Midnight Sun,"Romance, Drama",en,7.8,1,31,2018-03-22,3392,Scott Speer,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Ken Tremblett",2800000.0,27365467.0
589,"Spring, Summer, Fall, Winter... and Spring",Drama,ko,7.8,1,43,2003-09-19,1057,Kim Ki-duk,"Oh Young-soo, Kim Ki-duk, Kim Young-min, Seo Jae-kyeong, Kim Jong-ho",0.0,8945072.0
590,Into the Wild,"Adventure, Drama",en,7.8,2,28,2007-09-21,9468,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian H. Dierker",15000000.0,56255142.0
591,Evangelion: 2.0 You Can (Not) Advance,"Animation, Science Fiction, Action, Drama",ja,7.8,1,52,2009-06-26,858,Masayuki,"Megumi Ogata, Megumi Hayashibara, Yuko Miyamura, Maaya Sakamoto, Kotono Mitsuishi",10000000.0,44339362.0
592,Rififi,"Crime, Thriller, Drama",fr,7.8,1,58,1955-04-13,548,Jules Dassin,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset",200000.0,460000.0
593,Close,Drama,fr,7.8,1,44,2022-11-01,751,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel",0.0,3129968.0
594,No Game No Life: Zero,"Adventure, Animation, Drama, Fantasy, Romance",ja,7.8,1,46,2017-07-15,386,Atsuko Ishizuka,"Yoko Hikasa, Ai Kayano, Yoshitsugu Matsuoka, Kazuyuki Okitsu, Ryota Takeuchi",0.0,6000000.0
595,I Saw the Devil,"Thriller, Horror",ko,7.8,2,24,2010-08-12,2544,Kim Jee-woon,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin, Oh San-ha",6000000.0,12966357.0
596,Toy Story 3,"Animation, Family, Comedy",en,7.8,1,43,2010-06-16,14592,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",200000000.0,1067316101.0
597,Polisse,"Drama, Thriller",fr,7.8,2,3,2011-10-06,1199,Maïwenn,"Frédéric Pierrot, JoeyStarr, Nicolas Duvauchelle, Karin Viard, Naidra Ayadi",0.0,20374201.0
598,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",en,7.8,1,31,1975-03-14,5753,Terry Jones,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones",400000.0,5028948.0
599,Whiplash,"Drama, Music",en,7.8,0,18,2013-01-18,351,Damien Chazelle,"Johnny Simmons, J.K. Simmons, Nate Lang, C.J. Vana, Honora Javier",0.0,0.0
600,3-Iron,"Drama, Romance, Crime",ko,7.8,1,28,2004-10-15,1128,Kim Ki-duk,"Lee Seung-yun, Jae Hee, Kwon Hyuk-ho, Ju Jin-mo, Jeong-ho Choi",0.0,3403957.0
601,"The Gangster, the Cop, the Devil","Crime, Action, Thriller",ko,7.8,1,50,2019-05-15,1130,Lee Won-tae,"Ma Dong-seok, Kim Moo-yul, Kim Sung-kyu, Heo Dong-won, Yoo Jae-myung",6500000.0,25775371.0
602,Land of Mine,"War, Drama, History",da,7.8,1,40,2015-12-03,1366,Martin Zandvliet,"Roland Møller, Louis Hofmann, Mikkel Boe Følsgaard, Joel Basman, Laura Bro",5070773.0,0.0
603,Brokeback Mountain,"Drama, Romance",en,7.8,2,14,2005-10-22,6916,Ang Lee,"Heath Ledger, Jake Gyllenhaal, Michelle Williams, Anne Hathaway, Randy Quaid",14000000.0,178043761.0
604,3-Iron,"Drama, Romance, Crime",ko,7.8,1,28,2004-10-15,1128,Kim Ki-duk,"Lee Seung-yun, Jae Hee, Kwon Hyuk-ho, Ju Jin-mo, Jeong-ho Choi",0.0,3403957.0
605,The Wrong Trousers,"Animation, Comedy, Family",en,7.8,0,30,1993-12-17,979,Nick Park,Peter Sallis,0.0,0.0
606,Don't Be Bad,"Crime, Drama",it,7.8,1,40,2015-09-08,963,Claudio Caligari,"Luca Marinelli, Alessandro Borghi, Silvia D'Amico, Roberta Mattei, Alessandro Bernardini",0.0,0.0
607,Porco Rosso,"Family, Comedy, Animation, Adventure",ja,7.8,1,33,1992-07-18,3260,Hayao Miyazaki,"Shūichirō Moriyama, Tokiko Kato, Bunshi Katsura Vi, Tsunehiko Kamijô, Akemi Okamura",0.0,0.0
608,L.A. Confidential,"Crime, Mystery, Thriller",en,7.8,2,18,1997-09-19,4887,Curtis Hanson,"Guy Pearce, Russell Crowe, Kevin Spacey, Kim Basinger, Danny DeVito",35000000.0,126216940.0
609,The Promised Land,"Action, Drama, History",da,7.8,2,7,2023-10-05,305,Nikolaj Arcel,"Mads Mikkelsen, Amanda Collin, Simon Bennebjerg, Kristine Kujath Thorp, Gustav Lindh",8500000.0,2119043.0
610,The Perks of Being a Wallflower,Drama,en,7.8,1,43,2012-09-20,10397,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Mae Whitman, Kate Walsh",13000000.0,33384127.0
611,Presto,"Animation, Family, Comedy",en,7.8,0,5,2008-06-27,987,Doug Sweetland,Doug Sweetland,0.0,0.0
612,Scent of a Woman,"Drama, Comedy",en,7.8,2,36,1992-12-23,3361,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman",31000000.0,134100000.0
613,Freaks,"Drama, Horror",en,7.8,1,6,1932-01-01,1171,Tod Browning,"Harry Earles, Olga Baclanova, Daisy Earles, Henry Victor, Wallace Ford",310607.0,0.0
614,Die Hard,"Action, Thriller",en,7.8,2,12,1988-07-15,11058,John McTiernan,"Bruce Willis, Alan Rickman, Alexander Godunov, Bonnie Bedelia, Reginald VelJohnson",28000000.0,140767956.0
615,The Dinner Game,Comedy,fr,7.8,1,20,1998-04-15,1877,Francis Veber,"Jacques Villeret, Thierry Lhermitte, Francis Huster, Daniel Prévost, Alexandra Vandernoot",12500000.0,78599508.0
616,Perfect Days,Drama,ja,7.8,2,4,2023-11-10,1148,Wim Wenders,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Aoi Yamada, Yumi Asou",14000000.0,24094016.0
617,Straight Outta Compton,"Drama, Music, History",en,7.8,2,27,2015-08-11,3855,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge",28000000.0,201634991.0
618,The Last Laugh,Drama,de,7.8,1,30,1924-12-23,305,F. W. Murnau,"Emil Jannings, Maly Delschaft, Max Hiller, Hans Unterkircher, Hermann Vallentin",0.0,0.0
619,Rocky,Drama,en,7.8,2,0,1976-11-20,7812,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith",960000.0,225300000.0
620,The King of Comedy,"Drama, Comedy",en,7.8,1,49,1982-12-18,2267,Martin Scorsese,"Robert De Niro, Jerry Lewis, Sandra Bernhard, Diahnne Abbott, Shelley Hack",19000000.0,2536000.0
621,God's Own Country,"Romance, Drama",en,7.8,1,45,2017-08-31,888,Francis Lee,"Josh O'Connor, Alec Secăreanu, Gemma Jones, Ian Hart, Harry Lister Smith",0.0,2559939.0
622,The Wind Rises,"Drama, Animation, Romance, War, History",ja,7.8,2,6,2013-07-20,2986,Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura, Stephen Alpert",30000000.0,117932401.0
623,Arthur the King,"Adventure, Drama",en,7.8,1,47,2024-03-15,635,Simon Cellan Jones,"Mark Wahlberg, Nathalie Emmanuel, Simu Liu, Ali Suliman, Juliet Rylance",19000000.0,34339848.0
624,Dune,"Science Fiction, Adventure",en,7.8,2,35,2021-09-15,12616,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård",165000000.0,407573628.0
625,Teen Titans: Trouble in Tokyo,"Animation, Action, Science Fiction, TV Movie",en,7.8,1,15,2006-09-15,391,Michael Chang,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch",0.0,0.0
626,Through a Glass Darkly,Drama,sv,7.8,1,31,1961-10-16,478,Ingmar Bergman,"Harriet Andersson, Gunnar Björnstrand, Max von Sydow, Lars Passgård",0.0,8939.0
627,The Heist of the Century,"Comedy, Thriller, Crime",es,7.8,1,54,2020-01-16,776,Ariel Winograd,"Guillermo Francella, Diego Peretti, Luis Luque, Pablo Rago, Rafael Ferro",0.0,7627100.0
628,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Animation, Science Fiction, Music, Adventure",en,7.8,1,6,2003-05-28,417,Kazuhisa Takenouchi,"Romanthony, Thomas Bangalter, Guy-Manuel de Homem-Christo, Todd Edwards, DJ Sneak",4000000.0,0.0
629,The Dark Knight Rises,"Action, Crime, Drama, Thriller",en,7.8,2,45,2012-07-17,22625,Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway",250000000.0,1081041287.0
630,Nine Queens,"Crime, Thriller, Drama",es,7.8,1,54,2000-08-31,704,Fabián Bielinsky,"Ricardo Darín, Gastón Pauls, Leticia Brédice, Gabo Correa, Pochi Ducasse",1300000.0,12413888.0
631,The Girl Who Leapt Through Time,"Fantasy, Animation, Drama, Science Fiction",ja,7.8,1,38,2006-07-15,1999,Mamoru Hosoda,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Ayami Kakiuchi, Mitsuki Tanimura",0.0,3800000.0
632,Never Look Away,"Drama, Romance, History",de,7.8,3,9,2018-10-03,669,Florian Henckel von Donnersmarck,"Tom Schilling, Sebastian Koch, Paula Beer, Saskia Rosendahl, Oliver Masucci",0.0,4831836.0
633,Dogville,"Crime, Drama, Thriller",en,7.8,2,58,2003-05-21,2394,Lars von Trier,"Nicole Kidman, Paul Bettany, John Hurt, Stellan Skarsgård, Philip Baker Hall",10000000.0,16690617.0
634,The Normal Heart,Drama,en,7.8,2,13,2014-05-25,868,Ryan Murphy,"Mark Ruffalo, Matt Bomer, Taylor Kitsch, Jim Parsons, Alfred Molina",0.0,0.0
635,A Short Film About Love,"Drama, Romance",pl,7.8,1,27,1988-08-21,367,Krzysztof Kieślowski,"Grażyna Szapołowska, Olaf Lubaszenko, Stefania Iwińska, Piotr Machalica, Artur Barciś",0.0,0.0
636,The Man Who Shot Liberty Valance,Western,en,7.8,2,3,1962-04-13,1118,John Ford,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien",3200000.0,8000000.0
637,Donnie Darko,"Fantasy, Drama, Mystery",en,7.8,1,54,2001-01-19,12364,Richard Kelly,"Jake Gyllenhaal, Jena Malone, James Duval, Drew Barrymore, Beth Grant",4500000.0,7500000.0
638,Luck,"Animation, Adventure, Comedy, Fantasy",en,7.8,1,45,2022-08-05,1691,Peggy Holmes,"Eva Noblezada, Simon Pegg, Jane Fonda, Whoopi Goldberg, Flula Borg",0.0,0.0
639,Everything Everywhere All at Once,"Action, Adventure, Science Fiction",en,7.8,2,20,2022-03-24,6497,Daniel Scheinert,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis",25000000.0,139200000.0
640,Short Term 12,Drama,en,7.8,1,36,2013-08-23,1280,Destin Daniel Cretton,"Brie Larson, John Gallagher Jr., Kaitlyn Dever, Rami Malek, LaKeith Stanfield",1000000.0,1645164.0
641,The Best Years of Our Lives,"Drama, Romance, War",en,7.8,2,51,1946-12-25,641,William Wyler,"Dana Andrews, Fredric March, Harold Russell, Teresa Wright, Myrna Loy",2100000.0,23650000.0
642,Fanny and Alexander,"Fantasy, Drama, Mystery",sv,7.8,3,8,1982-12-17,759,Ingmar Bergman,"Pernilla Allwin, Bertil Guve, Jan Malmsjö, Börje Ahlstedt, Anna Bergman",6000000.0,6800000.0
643,Le Samouraï,"Crime, Thriller",fr,7.8,1,45,1967-10-25,1078,Jean-Pierre Melville,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier, Michel Boisrond",0.0,215245.0
644,A Woman Under the Influence,Drama,en,7.8,2,35,1974-11-18,476,John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands, Katherine Cassavetes",0.0,16626.0
645,Awakenings,Drama,en,7.8,2,0,1990-12-04,2505,Penny Marshall,"Robert De Niro, Robin Williams, John Heard, Julie Kavner, Penelope Ann Miller",31000000.0,52096475.0
646,Amour,"Drama, Romance",fr,7.8,2,7,2012-09-20,1598,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell",8900000.0,29800000.0
647,Partly Cloudy,"Animation, Family, Comedy",en,7.8,0,5,2009-05-28,1026,Peter Sohn,"Tony Fucile, Lori Richardson",0.0,0.0
648,Ernest & Celestine,"Animation, Comedy, Drama, Family, Adventure",fr,7.8,1,19,2012-12-12,595,Stéphane Aubier,"Anne-Marie Loop, Lambert Wilson, Pauline Brunner, Patrice Melennec, Brigitte Virtudes",12516654.0,8109160.0
649,Shelter,"Drama, Romance",en,7.8,1,29,2007-06-16,474,Jonah Markowitz,"Brad Rowe, Trevor Wright, Tricia Pierce, Tina Holmes, Jackson Wurth",500000.0,142666.0
650,Angel's Egg,"Animation, Fantasy, Mystery",ja,7.8,1,11,1985-12-15,418,Mamoru Oshii,"Keiichi Noda, Mako Hyodo, Jinpachi Nezu",0.0,0.0
651,Back to the Future Part II,"Adventure, Comedy, Science Fiction",en,7.8,1,48,1989-11-22,12689,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, Elisabeth Shue",40000000.0,332000000.0
652,The Untouchables,"Crime, History, Thriller",en,7.8,1,59,1987-06-03,5575,Brian De Palma,"Kevin Costner, Sean Connery, Charles Martin Smith, Andy García, Robert De Niro",25000000.0,76270454.0
653,Rain Man,Drama,en,7.8,2,14,1988-12-12,6300,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock",25000000.0,354825435.0
654,The Twilight Samurai,"Drama, Romance",ja,7.8,2,9,2002-11-02,309,Yoji Yamada,"Hiroyuki Sanada, Rie Miyazawa, Nenji Kobayashi, Mitsuru Fukikoshi, Min Tanaka",5000000.0,7372769.0
655,Big Fish,"Adventure, Fantasy, Drama",en,7.8,2,5,2003-12-25,7134,Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter",70000000.0,123200000.0
656,Life of Brian,Comedy,en,7.8,1,34,1979-08-17,4359,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones",4000000.0,20700000.0
657,A Man Called Otto,"Comedy, Drama",en,7.8,2,6,2022-12-28,2654,Marc Forster,"Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins, Tony Bingham",50000000.0,108961677.0
658,Maudie,"Drama, Romance",en,7.8,1,55,2016-06-16,475,Aisling Walsh,"Sally Hawkins, Ethan Hawke, Gabrielle Rose, Billy MacLellan, Zachary Bennett",0.0,6170998.0
659,Ip Man,"Drama, Action, History",cn,7.8,1,46,2008-12-12,3735,Wilson Yip,"Donnie Yen, Simon Yam, Lynn Hung, Hiroyuki Ikeuchi, Lam Ka-Tung",11700000.0,22100000.0
660,A Walk to Remember,"Drama, Romance",en,7.8,1,41,2002-01-25,4024,Adam Shankman,"Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German",11800000.0,47494916.0
661,Guy Ritchie's The Covenant,"War, Action, Thriller",en,7.8,2,3,2023-04-19,2465,Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong, Rhys Yates",55000000.0,20000000.0
662,Mustang,Drama,tr,7.8,1,37,2015-06-17,1363,Deniz Gamze Ergüven,"Güneş Nezihe Şensoy, Doğa Zeynep Doğuşlu, Elit İşcan, Tuğba Sunguroğlu, Ilayda Akdoğan",1300000.0,5300000.0
663,Hustle,"Drama, Comedy",en,7.8,1,57,2022-06-03,2497,Jeremiah Zagar,"Adam Sandler, Juancho Hernangómez, Queen Latifah, Anthony Edwards, Kenny Smith",0.0,0.0
664,Pan's Labyrinth,"Fantasy, Drama, War",es,7.8,1,58,2006-10-10,10479,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú, Ariadna Gil, Doug Jones",19000000.0,83258226.0
665,All Quiet on the Western Front,"Drama, War",en,7.8,2,13,1930-04-29,787,Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy, Ben Alexander",1448864.0,3270000.0
666,Misery,"Drama, Thriller",en,7.8,1,47,1990-11-30,4623,Rob Reiner,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen, Lauren Bacall",20000000.0,61300000.0
667,Touch of Evil,"Crime, Thriller, Mystery",en,7.8,1,51,1958-03-30,1414,Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff",829000.0,2247500.0
668,Wings of Desire,"Drama, Fantasy, Romance",de,7.8,2,8,1987-09-23,1308,Wim Wenders,"Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, Peter Falk",2500000.0,3210139.0
669,Beating Hearts,"Romance, Crime",fr,7.8,2,46,2024-10-16,309,Gilles Lellouche,"Adèle Exarchopoulos, François Civil, Mallory Wanecque, Malik Frikah, Alain Chabat",37315205.0,0.0
670,Past Lives,"Drama, Romance",en,7.8,1,46,2023-06-02,1625,Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah, Yim Seung-min",12000000.0,28126646.0
671,The Ten Commandments,"Drama, History",en,7.8,3,40,1956-10-05,1600,Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo",13000000.0,122700000.0
672,Train to Busan,"Horror, Thriller, Action",ko,7.8,1,58,2016-07-20,7386,Yeon Sang-ho,"Gong Yoo, Kim Su-an, Jung Yu-mi, Ma Dong-seok, Choi Woo-shik",8500000.0,87547518.0
673,The Hateful Eight,"Drama, Mystery, Western",en,7.8,3,8,2015-12-25,14105,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir",44000000.0,155760117.0
674,Safety Last!,Comedy,en,7.8,1,13,1923-04-01,497,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis, Bill Strother, Noah Young, Westcott Clarke",121000.0,1500000.0
675,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation, Comedy, Mystery, Family, Fantasy, Adventure, Horror",en,7.8,1,12,2021-09-14,383,Cecilia Aranovich,"Matthew Lillard, Thea White, Grey DeLisle, Frank Welker, Kate Micucci",0.0,0.0
676,The Chaser,"Crime, Thriller, Action",ko,7.8,2,5,2008-02-14,1317,Na Hong-jin,"Kim Yun-seok, Ha Jung-woo, Seo Young-hee, Kim You-jung, Jeong In-gi",2600000.0,0.0
677,Zootopia,"Animation, Adventure, Family, Comedy",en,7.8,1,49,2016-02-11,16226,Byron Howard,"Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate, Nate Torrence",150000000.0,1023784195.0
678,How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",en,7.8,1,44,2019-01-03,6339,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler",129000000.0,524580592.0
679,The King and the Mockingbird,"Animation, Family, Fantasy",fr,7.8,1,23,1980-03-19,371,Paul Grimault,"Jean Martin, Renaud Marx, Agnès Viala, Pascal Mazzotti, Albert Médina",0.0,0.0
680,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy",en,7.8,2,26,2010-11-17,18961,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter",250000000.0,954305868.0
681,The Color Purple,"Drama, History",en,7.8,2,34,1985-12-18,1764,Steven Spielberg,"Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey, Willard E. Pugh",15000000.0,146300000.0
682,Ninja Scroll,"Fantasy, Adventure, Animation, Action",ja,7.7,1,34,1993-06-05,623,Yoshiaki Kawajiri,"Koichi Yamadera, Emi Shinohara, Takeshi Aono, Daisuke Gori, Ryuuzaburou Ootomo",60000000.0,0.0
683,Underground,"Comedy, Drama, War",sr,7.7,2,50,1995-05-13,667,Emir Kusturica,"Miki Manojlović, Lazar Ristovski, Mirjana Joković, Slavko Štimac, Ernst Stötzner",14000000.0,0.0
